Timestamp,q1csv,q2csv,q3csv,q4csv,q5csv,q6csv,q7csv,q8csv,q9csv,q10csv,q11csv,q12csv,q13csv,q14csv,q15csv,q16csv,q17csv,q18csv,q19csv,20)  Which of the following  personality types do you think best describes you?  ,Column 21
2/28/2025 00:20:41,5 (Strongly agree),1 (Strongly Disagree),5 (Strongly agree),3 (Neutral),1 (Strongly Disagree),3 (Neutral),5 (Strongly agree),3 (Neutral),5 (Strongly agree),5 (Strongly agree),2 (Disagree),3 (Neutral),2 (Disagree),5 (Strongly agree),3 (Neutral),4 (Agree),2 (Disagree),3 (Neutral),4 (Agree),Thinker,
2/28/2025 00:43:33,4 (Agree),2 (Disagree),4 (Agree),2 (Disagree),5 (Strongly agree),3 (Neutral),4 (Agree),5 (Strongly agree),3 (Neutral),5 (Strongly agree),5 (Strongly agree),3 (Neutral),3 (Neutral),1 (Strongly Disagree),4 (Agree),5 (Strongly agree),3 (Neutral),5 (Strongly agree),3 (Neutral),Thinker,
2/28/2025 01:34:11,3 (Neutral),3 (Neutral),2 (Disagree),4 (Agree),2 (Disagree),4 (Agree),5 (Strongly agree),1 (Strongly Disagree),4 (Agree),4 (Agree),1 (Strongly Disagree),4 (Agree),4 (Agree),4 (Agree),2 (Disagree),1 (Strongly Disagree),3 (Neutral),2 (Disagree),4 (Agree),Sensitive,
2/28/2025 02:58:44,4 (Agree),3 (Neutral),4 (Agree),3 (Neutral),4 (Agree),4 (Agree),3 (Neutral),4 (Agree),4 (Agree),3 (Neutral),3 (Neutral),2 (Disagree),2 (Disagree),5 (Strongly agree),2 (Disagree),4 (Agree),4 (Agree),4 (Agree),3 (Neutral),Extrovert,
2/28/2025 03:21:30,1 (Strongly Disagree),3 (Neutral),2 (Disagree),5 (Strongly agree),3 (Neutral),1 (Strongly Disagree),4 (Agree),3 (Neutral),3 (Neutral),5 (Strongly agree),1 (Strongly Disagree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),1 (Strongly Disagree),2 (Disagree),4 (Agree),3 (Neutral),4 (Agree),Sensitive,
2/28/2025 04:04:37,2 (Disagree),5 (Strongly agree),3 (Neutral),4 (Agree),1 (Strongly Disagree),3 (Neutral),5 (Strongly agree),3 (Neutral),2 (Disagree),1 (Strongly Disagree),3 (Neutral),4 (Agree),1 (Strongly Disagree),5 (Strongly agree),4 (Agree),1 (Strongly Disagree),5 (Strongly agree),3 (Neutral),1 (Strongly Disagree),Introvert,
2/28/2025 04:30:32,3 (Neutral),4 (Agree),1 (Strongly Disagree),3 (Neutral),3 (Neutral),3 (Neutral),4 (Agree),5 (Strongly agree),5 (Strongly agree),4 (Agree),4 (Agree),3 (Neutral),3 (Neutral),3 (Neutral),4 (Agree),3 (Neutral),2 (Disagree),2 (Disagree),3 (Neutral),Introvert,
2/28/2025 05:05:50,5 (Strongly agree),5 (Strongly agree),2 (Disagree),2 (Disagree),5 (Strongly agree),4 (Agree),2 (Disagree),4 (Agree),4 (Agree),5 (Strongly agree),3 (Neutral),4 (Agree),3 (Neutral),1 (Strongly Disagree),4 (Agree),4 (Agree),2 (Disagree),4 (Agree),2 (Disagree),Thinker,
2/28/2025 05:37:36,5 (Strongly agree),4 (Agree),3 (Neutral),1 (Strongly Disagree),5 (Strongly agree),4 (Agree),4 (Agree),5 (Strongly agree),1 (Strongly Disagree),5 (Strongly agree),1 (Strongly Disagree),5 (Strongly agree),3 (Neutral),3 (Neutral),4 (Agree),4 (Agree),5 (Strongly agree),5 (Strongly agree),3 (Neutral),Extrovert,
2/28/2025 07:19:48,2 (Disagree),4 (Agree),1 (Strongly Disagree),2 (Disagree),3 (Neutral),1 (Strongly Disagree),5 (Strongly agree),1 (Strongly Disagree),4 (Agree),4 (Agree),5 (Strongly agree),4 (Agree),4 (Agree),5 (Strongly agree),1 (Strongly Disagree),5 (Strongly agree),3 (Neutral),2 (Disagree),2 (Disagree),Introvert,
2/28/2025 08:01:16,3 (Neutral),2 (Disagree),4 (Agree),3 (Neutral),2 (Disagree),1 (Strongly Disagree),3 (Neutral),2 (Disagree),4 (Agree),3 (Neutral),4 (Agree),4 (Agree),4 (Agree),4 (Agree),3 (Neutral),3 (Neutral),1 (Strongly Disagree),2 (Disagree),2 (Disagree),Sensitive,
2/28/2025 09:00:34,1 (Strongly Disagree),4 (Agree),2 (Disagree),5 (Strongly agree),4 (Agree),2 (Disagree),4 (Agree),1 (Strongly Disagree),5 (Strongly agree),4 (Agree),1 (Strongly Disagree),1 (Strongly Disagree),2 (Disagree),2 (Disagree),2 (Disagree),2 (Disagree),1 (Strongly Disagree),1 (Strongly Disagree),1 (Strongly Disagree),Extrovert,
2/28/2025 09:56:30,5 (Strongly agree),3 (Neutral),4 (Agree),2 (Disagree),5 (Strongly agree),5 (Strongly agree),2 (Disagree),5 (Strongly agree),5 (Strongly agree),4 (Agree),5 (Strongly agree),3 (Neutral),5 (Strongly agree),1 (Strongly Disagree),4 (Agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),4 (Agree),Explorer,
2/28/2025 10:14:18,5 (Strongly agree),5 (Strongly agree),3 (Neutral),4 (Agree),4 (Agree),3 (Neutral),2 (Disagree),2 (Disagree),3 (Neutral),4 (Agree),4 (Agree),4 (Agree),4 (Agree),1 (Strongly Disagree),5 (Strongly agree),2 (Disagree),2 (Disagree),1 (Strongly Disagree),1 (Strongly Disagree),Sensitive,
